Item #,Description,Type,Price,Core Deposit
174,DECK LID HINGE (EACH),Car,$18.99,$0.00
181-4,DECK LID LATCH (ELECTRIC),Car,$29.99,$0.00
181-3,DECK LID LATCH ASSY (MAN),Car,$18.99,$0.00
170,DECK/TRUNK LID (NO GLASS),Car,$61.99,$8.99
301-1,DIPSTICK OR TUBE,Car,$8.99,$0.00
606-3,DISTRIBUTOR CAP,Car,$7.99,$0.00
606-5,DISTRIBUTOR MODULE,Car,$25.99,$0.00
606-1,DISTRIBUTOR ONLY,Car,$47.99,$4.99
200-3,DOME LIGHT (LENS ONLY),Car,$8.49,$0.00
200-4,DOME LIGHT ASSEMBLY,Car,$21.99,$0.00
225-1,DOOR ARM REST,Car,$14.99,$0.00
120,DOOR ASSY W/HINGES,Car,$99.99,$8.99
129-1,DOOR HANDLE (OUTSIDE),Car,$18.99,$0.00
124,DOOR HINGE,Car,$21.99,$0.00
181-6,DOOR LOCK ASSY W/O SOLEND,Car,$28.99,$0.99
181-7,DOOR LOCK ASSY W/SOLENOID,Car,$46.99,$0.99
181-8,DOOR LOCK CYLINDER,Car,$5.99,$0.00
113-2,DOOR RUBBER,Car,$8.99,$0.00
181-9,DOOR STRIKER,Car,$6.99,$0.00
225-2,DOOR TRIM PANEL,Car,$31.99,$0.00
121,DOOR/GATE MOTOR,Car,$46.99,$0.00
129-2,DOOR/WINDOW HANDLE INSIDE,Car,$12.99,$0.00
525-1,DRAG LINK (CENTER ROD),Car,$40.99,$0.99
431-3,DRIVE SHAFT CARRIER BEARING,Car,$29.99,$0.00
431-1,DRIVE SHAFT-1 PIECE,Car,$58.99,$3.99
431-2,DRIVE SHAFT-2 PIECE,Car,$80.99,$4.99
320-4,E.G.R. CARB SPACER,Car,$16.99,$0.00
317-1,E.G.R. VALVE,Car,$42.99,$0.00
317-3,EGR TREE,Car,$18.99,$0.00
551-3,Electric Power Assist w Motor,Car,$111.99,$9.99
633-2,ELECTRONIC IGNITION BOX,Car,$39.99,$2.99
134,EMBLEM,Car,$9.49,$0.00
300-4,ENGINE COMPLETE,Car,$399.99,$64.99
328-4,ENGINE COVER-INSIDE (VAN),Pick-Up/Van,$46.99,$0.00
300-4D,ENGINE DIESEL COMPLETE,Car,$549.99,$64.99
331-1,EXHAUST HEAT PIPE,Car,$21.99,$0.00
328-2,EXHAUST HEAT SHIELD,Car,$18.99,$0.00
332-1,EXHAUST OR TAILPIPE,Car,$21.99,$0.00
332-2,EXHAUST PIPE - Y PIPE,Car,$28.99,$0.00
331-2,EXHAUST SMOG TUBE,Car,$25.99,$0.00
326-2,FAN BELT (V TYPE),Car,$6.49,$0.00
326-3,FAN BELT(SERPENTINE TYPE),Car,$8.99,$0.00
325-2,FAN BLADE W/CLUTCH(COMBO),Car,$37.99,$0.99
325-1,FAN BLADE W/O CLUTCH,Car,$18.99,$0.00
326-1,FAN CLUTCH,Car,$25.99,$0.00
672-1,FAN ELEC ASSY W/FAN,Car,$48.99,$1.99
673,FAN SHROUD - ALL,Car,$29.99,$0.00
110-1,FENDER,Car,$74.99,$8.99
110-3,FENDER (INNER),Car,$27.99,$0.00
111,FENDER EXT/FLARE (FRT/RR),Car,$28.99,$0.00
110-2,FENDER SKIRT,Car,$48.99,$0.00
200-5,FLOOR MAT,Car,$6.49,$0.00
409-1,FLYWHEEL (ALL),Car,$45.99,$1.99
409-2,FLYWHEEL COVER,Car,$11.49,$0.00
141,FOG LAMPS EACH,Car,$16.99,$0.00
500-2,FRAME - FULL (BARE),Car,$444.99,$24.99
500-1,FRAME OR K-FRAME,Car,$133.99,$4.99
501,FRAME-SUB W/SUSP&STRNG COMP,Car,$270.99,$9.99
100,FRONT END ASSY,Car,$426.99,$39.99
319-4,FUEL FILTER,Car,$9.49,$0.00
370,FUEL INJECTION DISTRIBUTR,Car,$66.99,$4.99
370-5,FUEL INJECTION SPIDER TYP,Car,$91.99,$0.00
371-1,FUEL INJECTOR (EACH),Car,$9.99,$0.99
373-1,FUEL LINE,Car,$8.99,$0.00
323-5,FUEL PRESSURE REGULATOR,Car,$14.99,$0.00
323-2,FUEL PUMP (ELECTRIC),Car,$46.99,$1.99
323-1,FUEL PUMP (MECHANICAL),Car,$21.99,$0.99
177,FUEL TANK FILLER DOOR,Car,$15.99,$0.00
179,FUEL TANK FILLER NECK,Car,$21.99,$0.00
637-1,FUEL TANK SENDER,Car,$42.99,$0.00
637-2,FUEL TANK SENDER W/PUMP,Car,$54.99,$0.99
637-3,FUEL TANK SWITCH UNIT-DUAL,Car,$14.99,$0.00
197,FUEL TANK(MAY BE PUNCTRD),Car,$48.99,$5.99
646-1,FUSE BOX (BARE),Car,$29.99,$0.00
646-3,FUSE BOX COVER,Car,$12.99,$0.00
646-2,FUSE BOX WITH HARNESS,Car,$59.99,$0.99
234-3,GAS PEDAL W/MODULE,Car,$29.99,$0.00
180-1,GATE-PU/VAN,Pick-Up/Van,$77.99,$4.99
180-3,GATE-STN WAGON LOWER W/GL,Car,$73.99,$4.99
275-1,GLASS BACK (ONLY),Car,$58.99,$0.00
